zone_id,production,attraction,out_degree,in_degree,weighted_degree,net_flow
1451,42.39726,41.347118,500,488,988,1.050142000000001
1490,2391.969243,2446.381433,499,480,979,-54.41219000000001
1452,2260.787705,2323.229447,507,498,1005,-62.44174199999998
1106,4517.953314,4607.971281,507,499,1006,-90.01796699999977
1255,575.214508,572.68609,488,472,960,2.528417999999988
1368,1751.618478,1797.51169,508,499,1007,-45.89321199999995
1489,2688.263771,2736.797535,507,499,1006,-48.53376400000025
1242,1003.23723,1024.768242,508,508,1016,-21.531012000000146
1450,296.289384,306.359395,508,508,1016,-10.070011000000022
1410,1169.481825,1197.525373,508,507,1015,-28.043547999999873
1241,2049.608609,2085.382239,508,501,1009,-35.77363000000014
1243,3893.723074,3936.261778,508,508,1016,-42.53870400000005
1411,1486.028061,1523.166684,508,507,1015,-37.13862300000005
1461,1052.305971,1074.561759,508,508,1016,-22.25578799999994
1460,541.143506,551.653664,488,497,985,-10.510158000000047
1369,937.2568219999999,934.395151,412,416,828,2.8616709999998875
1172,407.720703,451.033456,424,497,921,-43.31275299999999
1072,1434.9683400000001,1450.303711,485,492,977,-15.335370999999896
1181,556.239556,574.417583,419,434,853,-18.178027000000043
1179,372.631895,397.541806,430,481,911,-24.909911000000022
1083,627.479918,650.340451,419,434,853,-22.860533000000032
1180,427.039361,441.851048,419,434,853,-14.811687000000006
1245,1010.117245,1045.794566,419,434,853,-35.677321000000006
1246,235.030331,245.055944,419,434,853,-10.025613000000021
1318,5299.18556,5274.976905,499,495,994,24.208654999999453
1320,627.178308,638.529081,499,494,993,-11.350773000000004
1391,1699.7314820000001,1738.861326,499,497,996,-39.12984399999982
1319,2115.514499,2068.458335,499,495,994,47.05616400000008
1459,1116.798505,1102.878156,496,497,993,13.920348999999987
1356,902.940758,924.216062,499,497,996,-21.275304000000006
1357,1435.088839,1483.263199,496,495,991,-48.17435999999998
1390,3341.628793,3406.5236959999997,496,494,990,-64.89490299999989
1315,5871.689371,5745.023763,502,495,997,126.66560800000025
1314,1343.891787,1355.141623,506,507,1013,-11.24983599999996
1316,1262.749415,1242.656602,496,495,991,20.09281299999998
1355,727.432442,744.127771,505,498,1003,-16.695329000000015
1309,2208.117582,2237.164454,505,500,1005,-29.04687200000035
1483,2001.563329,1961.262586,505,498,1003,40.30074300000001
1484,4054.770231,4000.804556,505,498,1003,53.96567499999992
1482,9580.495201,9569.196252,505,506,1011,11.298948999999993
1466,957.226626,984.196783,505,497,1002,-26.970156999999972
1358,3024.071942,3060.135098,505,505,1010,-36.06315600000016
1359,4256.10725,4253.681114,505,506,1011,2.4261360000000423
1251,5577.552063,5635.764463,506,501,1007,-58.21240000000034
1253,3361.82034,3390.270634,506,501,1007,-28.450293999999758
1323,7236.44264,7285.066771,506,508,1014,-48.62413099999958
1321,4287.472638,4383.357114,507,508,1015,-95.88447600000018
1332,4103.485374,4188.632558,506,507,1013,-85.14718400000038
1333,2734.752012,2809.961095,507,508,1015,-75.20908300000019
1448,3936.815103,3926.278618,506,507,1013,10.536485000000084
1449,854.642078,875.80509,507,508,1015,-21.16301199999998
1431,2204.228958,2229.1122179999998,503,505,1008,-24.88325999999961
1432,588.103429,596.024457,503,503,1006,-7.921027999999978
1502,2108.956756,2153.393885,506,507,1013,-44.43712899999991
1298,5580.173179,5580.018257,506,507,1013,0.1549220000006244
1325,7163.0484,7139.838264,507,508,1015,23.210135999999693
1322,5532.816131,5643.199436,507,508,1015,-110.38330500000029
1250,2778.326651,2801.781775,508,508,1016,-23.45512400000007
1097,5788.058182,5845.721014,508,507,1015,-57.66283199999998
1464,1010.65066,1038.256402,507,508,1015,-27.605741999999964
1324,2145.196325,2200.66111,508,508,1016,-55.46478500000012
1252,3054.467699,3083.111674,508,508,1016,-28.64397500000041
1360,4432.125319,4482.475842,508,508,1016,-50.35052300000007
1240,6641.109377,6661.402862,508,508,1016,-20.293485000000146
1288,2604.288938,2654.506412,508,508,1016,-50.21747400000004
1425,2236.184699,2234.288388,508,508,1016,1.8963109999999688
1287,2470.905008,2578.072122,502,508,1010,-107.16711399999986
1427,1652.471525,1691.633387,508,508,1016,-39.161862000000156
1290,784.886447,795.1121929999999,484,486,970,-10.225745999999958
1289,605.840653,615.191994,484,486,970,-9.351341000000048
1281,1246.505437,1284.7975099999999,496,506,1002,-38.292072999999846
1492,1195.006928,1217.4868490000001,508,508,1016,-22.479921000000104
1493,2431.37968,2482.374372,508,508,1016,-50.994692000000214
1093,2294.924112,2307.969035,508,508,1016,-13.044922999999926
1286,2883.670693,2862.928992,508,508,1016,20.74170099999992
1284,2118.256321,2131.13425,508,508,1016,-12.877929000000222
1426,2798.1036,2810.512974,508,508,1016,-12.409374000000298
1428,3220.786815,3226.597727,508,508,1016,-5.810911999999917
1274,911.622428,937.247661,508,508,1016,-25.62523299999998
1273,1528.944602,1583.763633,508,508,1016,-54.819030999999995
1271,7904.653369,7894.322244,508,508,1016,10.331124999999702
1094,2014.350498,2071.551395,508,508,1016,-57.20089699999994
1201,850.397699,878.26805,508,508,1016,-27.870351000000028
1283,4347.264908,4430.525415,508,508,1016,-83.26050699999996
1374,2058.377464,2124.42924,508,508,1016,-66.05177599999979
1077,3760.218413,3806.174243,508,508,1016,-45.95582999999988
1285,3162.838645,3192.827598,508,508,1016,-29.988953000000038
1272,803.614513,806.411494,508,508,1016,-2.7969809999999597
1282,304.542389,311.93351,503,508,1011,-7.391120999999998
1279,1342.13073,1388.0536280000001,508,508,1016,-45.92289800000003
1280,234.474563,237.075989,487,486,973,-2.6014260000000036
1088,776.583474,790.440354,508,508,1016,-13.856879999999933
1376,3010.543939,3035.396292,422,434,856,-24.852352999999766
1412,1317.4773969999999,1366.840601,485,493,978,-49.36320400000022
1244,2397.474025,2421.473408,484,493,977,-23.999382999999852
1413,1309.863596,1318.886436,488,497,985,-9.022840000000087
1247,1045.963247,1052.745131,487,493,980,-6.781883999999991
1375,952.933183,982.535146,485,493,978,-29.60196300000007
1249,1082.491197,1094.540376,487,493,980,-12.049178999999867
1406,340.984891,348.824309,502,508,1010,-7.839418000000023
1405,133.877741,134.835892,500,506,1006,-0.9581510000000151
1407,1072.933244,1099.011633,502,508,1010,-26.078389000000016
1184,1163.885983,1165.314084,495,505,1000,-1.428101000000197
1138,1349.853883,1385.919305,508,508,1016,-36.0654219999999
1140,586.743752,597.232427,508,508,1016,-10.488675000000057
1036,1356.886288,1379.964398,506,508,1014,-23.07811000000015
1100,32.749716,31.77031,508,508,1016,0.9794060000000009
1131,1539.9133,1563.302607,508,508,1016,-23.389307000000144
1010,73.523608,73.722679,508,508,1016,-0.19907100000000355
