zone_id,area_km2,n_segments,total_length_m,avg_seg_length_m,n_buildings,total_footprint_m2,avg_footprint_m2,street_density_km_km2,building_density_n_km2,building_coverage_pct
1451,0.12116739662077933,1395,39352702.28802216,28209.82242868972,1,11083.08644290945,11083.08644290945,324779.63037520164,8.253045191106361,9.146921327026995
1490,2.1683439474456483,1313,32540731.63099799,24783.497053311494,924,228458.59203709813,247.24955848170794,15007.181710877378,426.1316573362312,10.536086413146164
1452,1.716347550951356,1312,34910930.79204498,26608.94115247331,730,197326.5953177697,270.31040454489,20340.24564121303,425.3217826397501,11.496890312710462
1106,2.7761036386776405,2822,81323546.52915488,28817.698982691312,1184,284302.61891718686,240.12045516654297,29294.13203315862,426.4970455368094,10.241066470148448
1255,3.0051403086296604,367,9107228.690464567,24815.337031238603,199,54279.983774382905,272.7637375597131,3030.5502423004837,66.21986981058589,1.8062379190253015
1368,17.61767220012563,744,13926227.970151247,18718.048346977484,842,265710.2868640606,315.5704119525661,790.4692408825691,47.79292011086435,1.5082031487801544
1489,2.68197507986546,1310,30938382.840157498,23617.086137524806,882,213580.42800382976,242.15468027645096,11535.671256762575,328.86211606568884,7.9635500570924
1242,0.9033065331516336,1417,32576119.93134731,22989.498892976226,445,104980.89745045164,235.91212910213852,36063.19531166163,492.6345417290368,11.621846360855336
1450,0.3595052825095769,1054,24417594.55692189,23166.59825134904,143,32987.03584293871,230.67857232824275,67919.98823069151,397.7688422316593,9.17567486426572
1410,4.6282982267463995,572,12051797.091688804,21069.575335120287,497,131261.1987984688,264.10703983595334,2603.937019884083,107.38288149365452,2.8360574960344067
1241,1.7546673928969685,1123,24563045.711452767,21872.70321589739,872,168207.54511817434,192.89856091533755,13998.690470277106,496.96028063775765,9.586292296710573
1243,2.737479409877933,1612,28627813.472383674,17759.189498997315,1063,290941.92092989886,273.6988908089359,10457.727414892308,388.31342298475965,10.628095315714987
1411,2.910127206199532,639,10934184.664164912,17111.400100414572,589,129000.69048596383,219.01645243796915,3757.2875305490043,202.39665082173573,4.4328196448302934
1461,3.8632879296084726,581,8595335.453710804,14794.036925491917,481,128254.98157891184,266.64237334493106,2224.875704405989,124.50534590331382,3.319840092579119
1460,5.316975074051562,1476,26512007.23223128,17962.064520481897,383,106827.76197659108,278.92366051329265,4986.295189085587,72.03343906371788,2.0091830503013397
1369,8.213044697235972,645,13750568.983236669,21318.711601917315,543,142921.2843971435,263.20678526177437,1674.2352550284186,66.11433640227744,1.7401741944158955
1172,1.6699851132705397,898,16167125.48622639,18003.480496911347,156,50089.93676999279,321.08933826918457,9680.999763263933,93.41400636469494,2.99942414887133
1072,3.198381899201015,1107,23263003.943852585,21014.45704051724,638,145583.6278551584,228.18750447516993,7273.366557528323,199.47586626830844,4.5517900126788025
1181,3.2681020278591544,323,8297232.172008363,25688.02530033549,415,84534.19687661881,203.69685994365977,2538.8534694688387,126.98501958087745,2.586644974850889
1179,3.611834662950091,1068,29223088.88670982,27362.442777818185,206,33757.926225120704,163.87342827728497,8090.926527306999,57.03472590069845,0.9346476064202716
1083,12.732747987214884,243,6727748.236939483,27686.206736376476,574,121590.80082012978,211.83066344970345,528.3814808629608,45.08060636842579,0.9549454755738562
1180,4.533505761401849,1358,38300633.57611131,28203.706609802142,339,61006.49523465401,179.96016293408263,8448.347833193886,74.77656759284112,1.3456803287659131
1245,2.717538783998451,618,18800089.43606329,30420.856692659047,591,124157.30383663448,210.08004033271487,6918.0574521191475,217.47619702061147,4.56874082414955
1246,4.635655471455642,895,26483468.535089765,29590.467636971804,183,30690.840953735064,167.70951340838832,5712.993275312087,39.47661795119044,0.6620604387602997
1318,1.8635010023220608,1545,55886163.71124631,36172.274246761364,432,193065.3127599728,446.91044620364073,29989.875852821115,231.82171593237453,10.360354650703115
1320,0.659305424625728,659,24051614.94239665,36497.13951805258,224,44350.30656092481,197.9924400041286,36480.23214134811,339.7514894210971,6.726822638551991
1391,1.7038452393260635,1543,51388900.41381548,33304.53688516882,800,128768.02410661402,160.9600301332675,30160.5446479058,469.5262113808123,7.557495313221447
1319,0.9287706539715824,3982,136140542.475381,34188.98605609769,81,82061.73712243517,1013.1078657090761,146581.4427848476,87.21205784617561,8.835522178863545
1459,0.49230669010765243,2028,69343706.56892288,34193.14919572134,8,13721.690090816031,1715.211261352004,140854.6907086709,16.250033080498348,2.7872239737013356
1356,0.6589427013029463,1172,39091119.9055204,33354.19787160444,345,53765.63699021738,155.84242605860112,59324.004694527175,523.5660085737677,8.15937969779543
1357,0.8621877353295461,1247,42295367.17426574,33917.69621031736,643,113003.23190541452,175.74375101930718,49055.86734900557,745.7772520438742,13.106569169906173
1390,3.9861264572744655,2136,67557199.74487148,31627.902502280656,1008,255473.16191348192,253.4455971363908,16948.082422619394,252.87707522686705,6.409058133297734
1315,3.452518618731434,1106,34001246.01448643,30742.537083622454,340,301816.10719447944,887.6944329249395,9848.244070289642,98.47883170139916,8.741911066228408
1314,2.164121476038414,718,22756086.089865025,31693.713217082208,295,56562.34357093606,191.73675786757985,10515.161159770818,136.31397463880793,2.613639954928854
1316,1.094434124778318,811,24232602.554825105,29879.904506566098,183,103781.64119321907,567.1127934055687,22141.673040150785,167.20969847049258,9.48267591841039
1355,0.7536534041791645,1697,52777621.35403772,31100.542931077027,344,58585.441037072545,170.30651464265276,70029.03597512444,456.44323782318054,7.773525696587334
1309,1.8623407638089524,1367,40191248.39376199,29401.0595418888,312,98081.0163669699,314.36223194541634,21581.038859698718,167.53110175276515,5.26654510672739
1483,1.4891518751908428,4310,145435220.965688,33743.67075770023,32,38086.733819504356,1190.2104318595111,97663.12180015197,21.488741701311714,2.5576124540435696
1484,1.784626340480166,4923,161112229.38848594,32726.432945050972,269,85113.36871946468,316.4065751652962,90277.85017738647,150.7318332685954,4.769254313290274
1482,0.9055515430646767,6359,213186526.90303493,33525.165419568315,45,64972.11136314553,1443.8246969587894,235421.74770255858,49.693471724100405,7.174866175287945
1466,0.7720434031248217,1831,61880887.832442485,33796.22492214226,417,75923.238812524,182.07011705641247,80152.08417296427,540.1250736839477,9.834063539073973
1358,1.60685401899354,2030,63937329.81869946,31496.221585566236,482,101108.8585460919,209.76941607073007,39790.378629881314,299.9650212792216,6.292348735538644
1359,1.9433858818358674,3682,119407572.86186895,32430.08497063252,679,172644.51846430602,254.26291379131962,61443.05872442978,349.39020929727343,8.883697266608376
1251,0.21822285300765307,2090,62522713.90970568,29915.174119476404,18,29605.574309117037,1644.75412828428,286508.5532884726,82.48448662417928,13.566669989452834
1253,0.5099243544158095,5897,181792887.25479844,30828.029041003636,36,67186.64150976817,1866.2955974935603,356509.520834846,70.59870682435455,13.17580557350315
1323,0.48060096085910053,5020,162073946.42550433,32285.646698307635,42,45529.154580420945,1084.0274900100226,337231.84018564643,87.39058682887921,9.473379849061287
1321,2.3996028998487122,3882,117844918.959816,30356.753982435857,1028,230078.42108732826,223.81169366471622,49110.17525743354,428.4042164079783,9.588187324737522
1332,3.858870720868964,3908,115555825.54010203,29569.044406372068,1225,288918.17989753565,235.85157542655972,29945.5032051658,317.4503860352562,7.487117366618472
1333,3.4638700016590613,3571,100676993.83812337,28192.94142764586,1058,203099.0236727724,191.9650507304087,29064.88805581703,305.4387143551168,5.863355829621081
1448,3.6411895837323427,1722,45565043.664741,26460.536390674217,936,198768.3024849245,212.35929752662872,12513.779526424792,257.05884807035187,5.45888363992243
1449,2.3943898104406274,1877,52144910.812273555,27780.986048094594,549,92089.9409608187,167.74124036579,21777.953859015794,229.28597407410882,3.8460713689669377
1431,3.8695327707161895,580,17815442.172532942,30716.279607815417,941,143887.6613997733,152.90931073302156,4604.029279027293,243.18181438371323,3.7184763620219186
1432,2.006691566710125,169,4319069.865961575,25556.626425808136,282,66956.47584253101,237.43431149833694,2152.3336907437565,140.52981767513256,3.3366600504681925
1502,4.755446353617417,281,6085109.130958783,21655.192636863998,988,215831.6002103732,218.4530366501753,1279.6084065441946,207.76178018461695,4.538619178117578
1298,4.3930361542731,692,15787828.066380588,22814.780442746516,1132,288939.0395452017,255.24650136501916,3593.830670167327,257.6805562819931,6.577206046077065
1325,0.7073459584204718,6422,199832814.26462278,31116.91284095652,59,68484.3985290713,1160.7525174418865,282510.71754316153,83.4103868095169,9.681881646994825
1322,1.7004593783446185,9274,292869720.5990757,31579.655013918014,816,168703.4912915538,206.7444746220022,172229.76586725737,479.87032821352574,9.921053889319314
1250,0.4929287747298809,2921,84564851.12712193,28950.650848039004,100,57399.734697343265,573.9973469734326,171555.9234160401,202.86906572820547,11.644630551096888
1097,1.941190327440395,3187,102914038.4508171,32291.82254496928,515,202932.74870109608,394.04417223513803,53015.9443904282,265.30113648313204,10.454036671853714
1464,0.31788909013578565,6691,203707893.37639478,30445.05953914135,54,24651.0692952516,456.5012832454,640814.358521651,169.870567048822,7.7546131843411015
1324,1.5052022343727351,8167,253808057.40547726,31077.26918152042,846,136020.55849538004,160.78080200399532,168620.56912322284,562.0507202824839,9.0366965573941
1252,0.22003965936745995,2839,84503601.86558065,29765.27011820382,25,30305.72618254979,1212.2290473019916,384038.0507245835,113.61588211809905,13.772847253839862
1360,0.37752638137625577,6877,203571452.5416554,29601.781669573273,20,47634.94372312618,2381.747186156309,539224.4425397363,52.97643022214999,12.617646361421182
1240,0.5563343347295843,2573,77484603.10448256,30114.497903024705,81,75116.56759831887,927.3650320780107,139277.04667400272,145.59590329683934,13.502054953130035
1288,5.660481238212963,873,27921582.00006136,31983.48453615276,1107,249828.24522922936,225.68043832812046,4932.722294275516,195.56641094874195,4.413551334516942
