feature,VIF
const,23.954242014582306
TOTAL_EMP,1.1646911092359624
TOTPOP,10.575072469464468
HH,11.051424847052685
area_km2,1.7600761452799425
building_coverage_pct,1.7754400333445761
avg_seg_length_m,1.4320587324808323
street_density_km_km2,1.3291234071632032
building_density_n_km2,1.6507945368758807
