seg_idx,class,length_m,connector_count,speed_kph,graph_degree,betweenness,volume,voc,criticality_score,critical,pred_prob_critical,pred_critical
46656,service,41.29635597294794,3,,0,0.0,0.0,0.0,,,0.1759451,0
46657,residential,113.01456288529045,8,,4,4.046796342498708e-06,0.0,0.0,,,0.27204254,0
46658,service,16.360469790017312,2,,0,0.0,0.0,0.0,,,0.15221491,0
46659,service,20.40400876100253,2,,0,0.0,0.0,0.0,,,0.15141593,0
46660,service,23.427307395404846,2,,1,0.0,0.0,0.0,,,0.162535,0
46661,service,22.12558407142398,3,,2,0.0,0.0,0.0,,,0.1657692,0
46662,service,39.68797123912118,2,,0,0.0,0.0,0.0,,,0.14797187,0
46663,service,6.957557432009169,2,,0,0.0,0.0,0.0,,,0.15408559,0
46664,service,15.9760070238372,2,,0,0.0,0.0,0.0,,,0.15229107,0
46665,service,29.49832869919584,3,,1,0.0,0.0,0.0,,,0.16200313,0
46666,service,20.43508822092717,2,,1,0.0,0.0,0.0,,,0.16235225,0
46667,service,34.82321969845205,2,,1,0.0,0.0,0.0,,,0.1499621,0
46668,service,30.01471342238481,2,,1,0.0,0.0,0.0,,,0.1499621,0
46669,service,31.184257166309735,2,,1,0.0,0.0,0.0,,,0.14998162,0
46670,service,11.406703003509179,2,,1,0.0,0.0,0.0,,,0.16232385,0
46671,service,31.324571270113353,3,,1,0.0,0.0,0.0,,,0.16232385,0
46672,residential,106.10118949919168,4,,5,4.1259868394480964e-05,0.0,0.0,,,0.27696767,0
46673,service,28.637314231701293,2,,0,0.0,0.0,0.0,,,0.14980789,0
46674,service,20.0212857432013,2,,1,0.0,0.0,0.0,,,0.14998162,0
46675,service,29.215757187857324,2,,1,0.0,0.0,0.0,,,0.14806773,0
46676,service,23.89240631001267,2,,5,0.0,0.0,0.0,,,0.152296,0
46677,service,28.98529893061516,2,,5,0.0,0.0,0.0,,,0.152296,0
46678,service,24.408461332678947,2,,5,0.0,0.0,0.0,,,0.15229598,0
46679,service,24.38795586415871,2,,5,0.0,0.0,0.0,,,0.152296,0
46680,service,25.683850581036616,2,,0,0.0,345.215833,0.02512,0.0016564536849929092,0.0,0.11268142,0
46681,tertiary,518.7858208042973,8,,4,0.0005382070686060199,0.0,0.0,,,0.38669783,0
46682,service,15.470198649068939,2,,0,0.0,0.0,0.0,,,0.11368521,0
46683,service,39.85371673357035,2,,0,0.0,0.0,0.0,,,0.1099152,0
46684,service,21.72628839598751,2,,4,0.0,0.0,0.0,,,0.18665786,0
46685,service,19.84769373786562,2,,4,0.0,0.0,0.0,,,0.18665786,0
46686,residential,128.55451868068658,8,,5,6.305258545392085e-05,0.0,0.0,,,0.27833194,0
46687,service,19.560264115346193,2,,0,0.0,0.0,0.0,,,0.15158235,0
46688,service,24.322282563317867,2,,0,0.0,0.0,0.0,,,0.1506448,0
46689,service,26.43386990990093,2,,1,0.0,0.0,0.0,,,0.14806773,0
46690,service,28.660189303660943,2,,0,0.0,0.0,0.0,,,0.15102156,0
46691,service,4.901548499148511,2,,0,0.0,0.0,0.0,,,0.15449697,0
46692,service,27.21154231998524,3,,0,0.0,0.0,0.0,,,0.17748676,0
46693,service,37.889664305810825,2,,1,0.0,0.0,0.0,,,0.14715794,0
46694,service,26.427155502666338,2,,3,0.0,0.0,0.0,,,0.27592048,0
46695,service,39.94684973381378,3,,0,0.0,0.0,0.0,,,0.17438962,0
46696,service,49.333171660252795,2,,0,0.0,0.0,0.0,,,0.14853375,0
46697,service,38.58234560228772,2,,0,0.0,0.0,0.0,,,0.1478709,0
46698,service,26.361319036879674,2,,0,0.0,0.0,0.0,,,0.15024476,0
46699,service,20.796211013196455,2,,0,0.0,0.0,0.0,,,0.15133859,0
46700,service,31.171816877263055,2,,1,0.0,0.0,0.0,,,0.14878003,0
46701,service,23.812997733406977,2,,1,0.0,0.0,0.0,,,0.14878003,0
46702,residential,189.8947448336758,9,,4,1.6890001322710946e-05,0.0,0.0,,,0.2575928,0
46703,residential,115.84006008929484,2,,2,0.0,0.0,0.0,,,0.23330732,0
46704,service,29.137812877971477,2,,0,0.0,0.0,0.0,,,0.14970139,0
46705,service,25.453424742117285,2,,1,0.0,0.0,0.0,,,0.14812551,0
46706,service,43.42818142771714,2,,0,0.0,0.0,0.0,,,0.14692919,0
46707,service,6.09380132407917,2,,1,0.0,0.0,0.0,,,0.15954533,0
46708,service,32.99221385122951,3,,0,0.0,0.0,0.0,,,0.1759273,0
46709,service,6.4276637960625385,2,,0,0.0,0.0,0.0,,,0.15419151,0
46710,service,37.518870156863365,2,,0,0.0,0.0,0.0,,,0.14977102,0
46711,service,5.966613444205005,2,,1,0.0,0.0,0.0,,,0.15953764,0
46712,service,18.365960714782965,2,,1,0.0,0.0,0.0,,,0.1495883,0
46713,residential,144.68146776539263,8,,4,1.5733462584678014e-05,0.0,0.0,,,0.2740179,0
46714,service,40.63930832439271,3,,3,0.0,0.0,0.0,,,0.1609443,0
46715,service,24.249491243683654,2,,0,0.0,0.0,0.0,,,0.15065911,0
46716,service,7.242105600235332,2,,0,0.0,0.0,0.0,,,0.25979558,0
46717,service,36.15382003660302,3,,0,0.0,0.0,0.0,,,0.29069588,0
46718,service,15.91995067076952,2,,1,0.0,0.0,0.0,,,0.25587288,0
46719,service,13.761112841091037,2,,1,0.0,0.0,0.0,,,0.25587288,0
46720,service,14.886420525238572,2,,0,0.0,0.0,0.0,,,0.25763762,0
46721,service,20.657431448956444,2,,5,0.0,0.0,0.0,,,0.3063269,0
46722,service,24.875076215953097,2,,5,0.0,0.0,0.0,,,0.30632687,0
46723,service,20.617778041705776,2,,5,0.0,0.0,0.0,,,0.30632687,0
46724,service,23.396722995041564,2,,5,0.0,0.0,0.0,,,0.30632687,0
46725,service,27.169326844449166,2,,5,0.0,0.0,0.0,,,0.30632687,0
46726,service,30.081603930154824,2,,0,0.0,0.0,0.0,,,0.25336653,0
46727,service,31.375285186006526,3,,2,0.0,0.0,0.0,,,0.2653761,0
46728,service,21.821440482524032,2,,1,0.0,0.0,0.0,,,0.26679027,0
46729,service,39.71411541044236,2,,1,0.0,0.0,0.0,,,0.25799868,0
46730,service,34.18242065359417,2,,1,0.0,0.0,0.0,,,0.269527,0
46731,living_street,356.5127160175652,22,,3,8.445000661355473e-06,0.0,0.0,,,0.41705415,0
46732,service,31.57158098489525,2,,2,0.0,0.0,0.0,,,0.26207694,0
46733,service,38.038589310588065,2,,0,0.0,0.0,0.0,,,0.25406724,0
46734,service,16.35142548328859,3,,3,0.0,0.0,0.0,,,0.27281457,0
46735,service,37.12485184147613,3,,1,0.0,0.0,0.0,,,0.27964726,0
46736,service,19.800425187035394,2,,1,0.0,0.0,0.0,,,0.25392574,0
46737,service,17.747450973830357,2,,0,0.0,0.0,0.0,,,0.25683156,0
46738,service,19.548078645357744,2,,0,0.0,0.0,0.0,,,0.25632468,0
46739,service,17.49354223217061,2,,0,0.0,0.0,0.0,,,0.25690308,0
46740,service,25.382486472349306,2,,5,0.0,0.0,0.0,,,0.28572813,0
46741,service,17.649057020655732,2,,0,0.0,0.0,0.0,,,0.25685927,0
46742,service,26.321312659482864,2,,1,0.0,0.0,0.0,,,0.25392574,0
46743,service,26.468094444439693,2,,5,0.0,0.0,0.0,,,0.28572813,0
46744,service,26.283827641967935,2,,5,0.0,0.0,0.0,,,0.28572813,0
46745,service,31.365638914037145,3,,5,0.0,0.0,0.0,,,0.28572813,0
46746,service,18.9039151402803,2,,0,0.0,0.0,0.0,,,0.25650594,0
46747,service,34.026577640887204,2,,1,0.0,0.0,0.0,,,0.25097567,0
46748,service,13.69197982994142,2,,0,0.0,0.0,0.0,,,0.2579744,0
46749,service,33.62787272174153,2,,1,0.0,0.0,0.0,,,0.25097567,0
46750,service,37.95015969466169,3,,1,0.0,0.0,0.0,,,0.26917586,0
46751,service,9.04997766712214,2,,0,0.0,0.0,0.0,,,0.25928468,0
46752,service,51.307865026386295,2,,0,0.0,0.0,0.0,,,0.25063345,0
46753,service,36.63573905425484,2,,1,0.0,0.0,0.0,,,0.26917586,0
46754,service,87.98343357551528,4,,0,0.0,0.0,0.0,,,0.31898764,0
46755,service,82.08336573371194,2,,0,0.0,0.0,0.0,,,0.2555209,0
46756,service,21.81225431185385,3,,1,0.0,0.0,0.0,0.0,0.0,0.122453675,0
46757,service,54.218564539694,3,,1,0.0,0.0,0.0,,,0.18217473,0
46758,service,9.03966548677335,2,,0,0.0,0.0,0.0,,,0.25928763,0
46759,service,214.61355593076973,4,,0,0.0,0.0,0.0,,,0.37092692,0
46760,service,27.580640106978002,2,,0,0.0,0.0,0.0,,,0.35869592,0
46761,service,25.747379682096483,2,,0,0.0,0.0,0.0,,,0.35946015,0
46762,service,2.413951760162657,2,,2,0.0,0.0,0.0,,,0.36621004,0
46763,service,71.87895757431801,3,,2,0.0,0.0,0.0,,,0.36621004,0
46764,service,67.47587687908317,2,,0,0.0,0.0,0.0,,,0.24297735,0
46765,service,213.49430607410125,6,,0,0.0,8158.748663,0.025855,0.039148231326218814,0.0,0.36929342,0
46766,service,68.19893726707214,2,,1,0.0,8158.748663,0.025855,0.039148231326218814,0.0,0.21451314,0
46767,service,24.269201264740076,2,,0,0.0,0.0,0.0,,,0.25499722,0
46768,secondary,561.5887256879324,7,,6,0.0005197520437063362,0.0,0.0,,,0.38063815,0
46769,service,85.19424882982717,2,,0,0.0,0.0,0.0,,,0.23812227,0
46770,service,85.88673573228196,2,,0,0.0,0.0,0.0,,,0.23793347,0
46771,secondary,580.6917922183933,7,,5,0.0021158063077356868,25050.942226,0.375367,0.1297962683695874,1.0,0.3865061,0
46772,service,86.6516021116127,2,,0,0.0,0.0,0.0,,,0.23772502,0
46773,service,28.48444275846092,2,,5,0.0,0.0,0.0,,,0.28572813,0
46774,service,18.50511919844081,2,,1,0.0,0.0,0.0,,,0.25492105,0
46775,service,17.66890829808934,2,,1,0.0,0.0,0.0,,,0.25492105,0
46776,living_street,176.40350186677694,11,,8,4.222500330677737e-05,0.0,0.0,,,0.3179798,0
46777,service,38.63027626941711,2,,0,0.0,0.0,0.0,,,0.2518245,0
46778,service,42.986876200937566,2,,0,0.0,0.0,0.0,,,0.24976929,0
46779,service,63.824312205401604,2,,1,0.0,0.0,0.0,,,0.26273447,0
46780,service,23.0057125498941,2,,0,0.0,0.0,0.0,,,0.2553522,0
46781,service,31.77004754391882,3,,4,8.445000661355473e-06,0.0,0.0,,,0.3499274,0
46782,service,8.320275562403905,2,,1,0.0,0.0,0.0,,,0.31919253,0
46783,service,10.35157922030294,2,,0,0.0,0.0,0.0,,,0.25891706,0
46784,service,23.321960596614993,2,,0,0.0,0.0,0.0,,,0.25526336,0
46785,living_street,110.22424669825854,8,,5,2.579109118094009e-05,0.0,0.0,,,0.38392562,0
46786,service,26.927952119343484,2,,0,0.0,0.0,0.0,,,0.2542508,0
46787,living_street,42.33208099249132,2,,4,1.4632202970109561e-05,0.0,0.0,,,0.36761975,0
46788,service,92.90407257507398,5,,1,0.0,0.0,0.0,,,0.34245306,0
46789,service,33.048679292289094,2,,0,0.0,0.0,0.0,,,0.25253564,0
46790,service,22.584771490230214,2,,1,0.0,0.0,0.0,,,0.26596558,0
46791,service,29.405256578724455,2,,0,0.0,0.0,0.0,,,0.25357056,0
46792,service,80.44758501008427,2,,1,0.0,0.0,0.0,,,0.27146035,0
46793,service,339.92137078826937,14,,1,0.0,0.0,0.0,,,0.37325376,0
46794,service,255.154322976975,10,,0,0.0,22911.966467,0.375971,0.10993879091488865,1.0,0.43298286,0
46795,service,87.55081123877773,2,,0,0.0,0.0,0.0,,,0.2374801,0
46796,service,87.12235952889951,2,,0,0.0,0.0,0.0,,,0.23759675,0
46797,service,77.60636584905977,2,,0,0.0,0.0,0.0,,,0.24019577,0
46798,service,74.89525033046016,2,,0,0.0,0.0,0.0,,,0.24093863,0
46799,service,111.18476329912525,5,,1,0.0,0.0,0.0,,,0.34245306,0
46800,service,294.2650375782353,17,,4,0.0,0.0,0.0,,,0.44138017,0
46801,service,293.09353058573123,2,,1,0.0,0.0,0.0,,,0.21451314,0
46802,service,154.377579917939,6,,1,0.0,0.0,0.0,,,0.31905118,0
46803,service,63.85046882826224,2,,2,0.0,0.0,0.0,,,0.28953883,0
46804,service,43.11807386232777,2,,0,0.0,0.0,0.0,,,0.25132596,0
46805,service,30.18600033165653,2,,0,0.0,0.0,0.0,,,0.25333723,0
46806,service,30.861448279728442,2,,0,0.0,0.0,0.0,,,0.25314802,0
46807,service,13.98651018712624,2,,0,0.0,0.0,0.0,,,0.2578914,0
46808,service,70.78161253401359,3,,1,0.0,0.0,0.0,,,0.26596558,0
46809,service,7.281178623542004,2,,0,0.0,0.0,0.0,,,0.25978455,0
46810,service,51.84511639425662,2,,1,0.0,0.0,0.0,,,0.24451067,0
46811,residential,178.41844432847847,11,,5,4.622670436864617e-05,0.0,0.0,,,0.36256078,0
46812,service,6.86466113955363,2,,0,0.0,0.0,0.0,,,0.25990227,0
46813,service,39.385931839842456,3,,2,0.0,0.0,0.0,,,0.26545316,0
46814,service,52.936280628377645,3,,1,0.0,0.0,0.0,,,0.2669463,0
46815,service,6.8238532972726915,2,,1,0.0,0.0,0.0,,,0.26633152,0
46816,service,32.59971672930906,3,,0,0.0,0.0,0.0,,,0.29114228,0
46817,service,40.21878501432903,2,,1,0.0,0.0,0.0,,,0.2669463,0
46818,service,42.861468267759754,3,,2,0.0,0.0,0.0,,,0.36621004,0
46819,service,11.955710096801145,2,,0,0.0,0.0,0.0,,,0.25909153,0
46820,service,44.209012308619876,2,,1,0.0,0.0,0.0,,,0.25132433,0
46821,service,7.460943299854465,2,,1,0.0,0.0,0.0,,,0.27194443,0
46822,service,52.05383085832237,2,,0,0.0,0.0,0.0,,,0.25001976,0
46823,service,66.68081582604432,3,,0,0.0,0.0,0.0,,,0.290275,0
46824,service,50.88079285106084,2,,3,0.0,0.0,0.0,,,0.36067906,0
46825,living_street,194.49796399319033,6,,4,1.6890001322710946e-05,0.0,0.0,,,0.32001907,0
46826,service,65.81987028570266,2,,1,0.0,0.0,0.0,,,0.24451067,0
46827,service,74.53938653693035,2,,0,0.0,0.0,0.0,,,0.26226655,0
46828,service,54.73090763680583,3,,0,0.0,0.0,0.0,,,0.29399747,0
46829,residential,115.16370032792993,4,,6,7.573333318543054e-05,0.0,0.0,,,0.41382098,0
46830,residential,79.52460950510961,4,,5,4.782108808237437e-06,0.0,0.0,,,0.30516344,0
46831,service,38.776367687665456,2,,0,0.0,0.0,0.0,,,0.25442612,0
46832,service,59.782768618777055,2,,0,0.0,0.0,0.0,,,0.24509992,0
46833,service,164.59059404964694,8,,2,0.0,22911.966467,0.375971,0.10993879091488865,1.0,0.44981328,0
46834,service,64.63923460314734,2,,1,0.0,0.0,0.0,,,0.2827376,0
46835,service,54.556308617666026,2,,0,0.0,0.0,0.0,,,0.24654639,0
46836,service,80.36061269584033,2,,3,0.0,0.0,0.0,,,0.37601337,0
46837,service,81.14820761599448,2,,0,0.0,0.0,0.0,,,0.23922682,0
46838,unknown,47.44729832441681,2,,1,0.0,0.0,0.0,,,0.2827376,0
