fold,AUC,F1,Precision,Recall,threshold,n_test
0,0.8134978283660326,0.5933273219116321,0.49177877428998507,0.7477272727272727,0.44999999999999996,1654
1,0.8831753423138755,0.6210045662100456,0.5964912280701754,0.6476190476190476,0.6399999999999999,964
2,0.7448288330879789,0.4377745241581259,0.3208154506437768,0.6889400921658986,0.49999999999999994,2403
3,0.7682095467168714,0.4427934621099554,0.3433179723502304,0.6234309623430963,0.38,1488
4,0.870991058957864,0.6653061224489796,0.568935427574171,0.800982800982801,0.5299999999999999,1612
